AbroadTrips, Выезды за границу
AbroadTrips_AbroadTripReason_Name, Цель визита
AbroadTrips_ArrivalDate, Дата возвращения
AbroadTrips_btnAddAbroadTrip, Добавить выезд
AbroadTrips_btnCloseAbroadTrip, Закрыть
AbroadTrips_btnDeleteAbroadTrip, Удалить выезд
AbroadTrips_btnEditAbroadTrip, Редактировать выезд
AbroadTrips_Country_Name, Страна
AbroadTrips_DepartureDate, Дата выезда
WorkerList_btnAddWorker, Добавить сотрудника
btnCancel, Отмена
WorkerList_btnCloseWorker, Выход из формы
WorkerList_btnDeleteWorker, Удалить данные
WorkerList_btnEditWorker, Редактировать данные
btnSave, Сохранить
EditWorker, Редактирование данных
EditWorker_AbroadTrips, Поездки
EditWorker_AdditionalData, Дополнительно
EditWorker_Address, Адрес
EditWorker_Citizenship, Гражданство
EditWorker_DateBirth, Дата рождения
EditWorker_FamilyState, Семейное положение
EditWorker_LastChanged, Последнее заполнение
EditWorker_MainInfo, Общая информация
EditWorker_Name, ФИО
EditWorker_Nationality, Национальность
EditWorker_PassportMaker, Орган, выдавший паспорт
EditWorker_Sex, Пол
EdtiWorker_GosLanguageLevel, Знание гос языка
WorkerGridColumnName, Имя/Название
WorkerList, Сотрудники
AbroadTrip, Поездка №
AbroadTripReason, Цель пребывания за границей
AbroadTripReasons_btnAddAbroadTripReason, Добавить цель визита
AbroadTripReasons_btnCloseAbroadTripReason, Закрыть
AbroadTripReasons_btnDeleteAbroadTripReason, Удалить цель поездки
AbroadTripReasons_btnEditAbroadTripReason, Редактировать цель визита
AbroadTripReasons_Description, Описание
AbroadTripReasons_Name, Название
AbroadTripReason_Code, Код
AbroadTripReason_Description, Описание
AbroadTripReason_MainInfo, Общая информация
AbroadTripReason_Name, Название
AbroadTrip_AbroadTripReason, Цель пребывания
AbroadTrip_Add, Добавить поездку
AbroadTrip_ArrivalDate, Дата возвращения
AbroadTrip_Country, Страна
AbroadTrip_DepartureDate, Дата выезда
AbroadTrip_MainInfo, Общая информация
Country_Code, Код
Country_Description, Описание
Country_MainInfo, Общая информация
Country_Name, Название
CountyList, Страны
CountyList_btnAddCountry, Добавить страну
CountyList_btnCloseCountry, Закрыть
CountyList_btnDeleteCountry, Удалить страну
CountyList_btnEditCountry, Редактировать страну
Ribbon_HRM, Управление человеческими ресурсами
Ribbon_HRM_Charts, Графики
Ribbon_HRM_Database, База данных
Ribbon_HRM_Organizations, Организация и Штатные единицы
Ribbon_HRM_Pivots, Сводные таблицы
Ribbon_HRM_Posts, Должности
Ribbon_HRM_Workers, Сотрудники
Ribbon_USERS, Пользователи
Ribbon_USERS_Overseers, Курирование
Ribbon_USERS_Roles, Роли
Ribbon_USERS_Users, Пользователи
Ribbon_USERS_UsersAndRoles, Пользователи и роли
WorkerDocumentList, Документы содтудника
WorkerDocumentList_btnAddWorkerDocument, Добавить документ
WorkerDocumentList_btnCloseWorkerDocument, Закрыть
WorkerDocumentList_btnDeleteWorkerDocument, Удалить документ
WorkerDocumentList_btnEditWorkerDocument, Редактировать документ
WorkerDocumentList_DataDocument, Дата
WorkerDocumentList_DocumentName, Название
WorkerDocumentList_TypeDocumentName, Тип документа
ShureForRemoveEntry, Удалить выбранную запись?
AbroadTrip_btnDelete, Удалить поездку
ErrorNoItemSelected, Не выбрана запись
Document, Документ
Document_body, Файл
Document_Description, Описание
Document_Id_DocumentType, Типа документа
Document_Name, Название документа
Penalty_DateEndPenalty, Дата снятия Взыскания
Penalty_DatePenalty, Дата взыскания
Penalty_Description, Описание
Penalty_Id_TypePenalty, Тип взыскания
Penalty_MainInfo, Общая информация
ErrorNoDb, Проблемы с доступом к базе данных
ErrorWrondPassword, Неверный логин или пароль
EditWorker_Group_PersonLanguageLevel, Владение языком
EditWorker_Group_PersonPhone, Телефон сотрудника
EditWorker_Group_Relative, Родственник
EditWorker_Group_AbroadTrip, Выезд за границу
EditWorker_Group_illness, Больничные
EditWorker_Group_Penalty, Взыскания
EditWorker_Group_PersonEducation, Образование сотрудника
EditWorker_Group_PersonInParty, Участие в партии
EditWorker_Group_PersonQualityUpper, Повышение квалификации
EditWorker_Group_PersonRank, Звания сотрудника
EditWorker_Group_PersonRewards, Награды сотрудника
EditWorker_Group_PersonVacation, Отпуск сотрудника
EditWorker_Group_ScienceThing, Научный труд
EditWorker_Group_WorkExperience, Выполняемая работа и учёба
EditWorker_Education, Образование
EditWorker_Vacation, Отпуск и командировки
AbroadTrip_Document, Документ
Disability_Name, Название
Disability_Description, Описание
Disability_Code, Код
FamilyState_Name, Название
FamilyState_Description, Описание
FamilyState_Code, Код
FamilyType_Name, Название
FamilyType_Description, Описание
FamilyType_Code, Код
Illness_DateStart, Дата начало
Illness_DateFinish, Дата конец
Illness_Document, Документ
Language_Name, Название
Language_Description, Описание
Language_Code, Код
LanguageLevel_Name, Название
LanguageLevel_Description, Описание
LanguageLevel_Code, Код
Nationality_Name, Название
Nationality_Description, Описание
Nationality_Code, Код
Nationality_Name_F, Имя_Женское
Nationality_Name_M, Имя_Мужское
OrganizationForExperience_Name, Название
OrganizationForExperience_Description, Описание
OrganizationForExperience_Code, Код
OrganizationForExperience_Place, Местонахождение
